+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| key                                                                                       | types                           | occurrences | percents                 |
| ----------------------------------------------------------------------------------------- | ------------------------------- | ----------- | ------------------------ |
| DAI                                                                                       | Array                           |     1622397 | 100.00000000000000000000 |
| GlobalIDs                                                                                 | Array                           |     1622397 | 100.00000000000000000000 |
| ID                                                                                        | Array                           |     1622397 | 100.00000000000000000000 |
| Journal                                                                                   | Array                           |     1622397 | 100.00000000000000000000 |
| Keywords                                                                                  | Array                           |     1622397 | 100.00000000000000000000 |
| NumberofIDs                                                                               | Array                           |     1622397 | 100.00000000000000000000 |
| _id                                                                                       | ObjectId                        |     1622397 | 100.00000000000000000000 |
| access                                                                                    | Array                           |     1622397 | 100.00000000000000000000 |
| date_harv                                                                                 | Array                           |     1622397 | 100.00000000000000000000 |
| date_header                                                                               | Array                           |     1622397 | 100.00000000000000000000 |
| date_orig                                                                                 | Array                           |     1622397 | 100.00000000000000000000 |
| filenr                                                                                    | Array                           |     1622397 | 100.00000000000000000000 |
| nldidlnorm                                                                                | Array                           |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Component                                                                   | Object                          |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Component.Resource                                                          | Array                           |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Descriptor                                                                  | Object                          |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Descriptor.Statement                                                        | Object                          |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Descriptor.Statement.Identifier                                             | Array                           |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Descriptor.Statement._attrs                                                 | Array                           |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Descriptor1                                                                 | Object                          |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Descriptor1.Statement                                                       | Object                          |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Descriptor1.Statement._attrs                                                | Array                           |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Descriptor1.Statement.modified                                              | Array                           |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Item                                                                        | Object                          |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Item.Component                                                              | Object                          |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Item.Component.Resource                                                     | Object                          |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Item.Component.Resource._attrs                                              | Array                           |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Item.Component.Resource.mods                                                | Object                          |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Item.Component.Resource.mods._attrs                                         | Array                           |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Item.Component.Resource.mods.genre                                          | Array (1584485),Object (37912)  |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Item.Component.Resource.mods.name                                           | Object                          |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Item.Component.Resource.mods.name.role                                      | Object                          |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Item.Component.Resource.mods.name.role.roleTerm                             | Object                          |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Item.Component.Resource.mods.name.role.roleTerm._attrs                      | Array                           |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Item.Component.Resource.mods.name.role.roleTerm.text                        | Array                           |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Item.Component.Resource.mods.titleInfo                                      | Object                          |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Item.Component.Resource.mods.titleInfo.title                                | Array                           |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Item.Component.Resource.mods.typeOfResource                                 | Array (1584485),Object (37912)  |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Item.Descriptor                                                             | Object                          |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Item.Descriptor.Statement                                                   | Object                          |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Item.Descriptor.Statement._attrs                                            | Array                           |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Item.Descriptor.Statement.type                                              | Array                           |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Item1                                                                       | Object                          |     1622397 | 100.00000000000000000000 |
| nldidlnorm.XX.Item1.Component                                                             | Object                          |     1622397 | 100.00000000000000000000 |
